fips,premature_death,poor_health_days,poor_mental_days,social_associations,voter_turnout,adult_smoking,adult_obesity,food_insecurity
17147,6493.1810568,3.8623633626,5.2156532751,14.949470789,85.40359072,14.000000000000002,33.800000000000004,9.8
17149,9047.1189699,4.557266188,5.6841903604,8.2850041425,78.45227859,18.8,37.3,13.900000000000002
17151,12543.073343,4.6603740803000004,5.7730648328,23.872679045,86.07038123000001,18.099999999999998,37.7,15.5
17153,12462.621449,5.1166392307,5.9452077301,18.032458425,67.50805585,21.3,42.8,18.4
17155,7767.7822922,3.9884650632,5.2638263614,7.1787508973,80.71168621,15.6,34.699999999999996,12
17157,8769.4186086,4.5498661632,5.6476384987,20.952507649,76.8314626,18.4,37.7,13.3
17159,10994.456085,4.4626895309,5.5710805646,17.49271137,73.56663021,15.7,37.4,13.900000000000002
17161,8428.7752509,4.4917014089,5.1523434163,12.577105429,68.63152045999999,14.099999999999998,37.4,13.200000000000001
17163,11441.537893,4.1051635141,5.3742710716,10.844141195,67.79003288,16.3,38.2,11.700000000000001
17165,11840.518909,4.7990632547,5.9139805987,19.92463291,74.85047847,20.3,39.6,16.900000000000002
17167,8879.8417711,4.057796058,5.1873506524,18.094523322,70.61454502,16.2,38.3,12
17169,11014.867546,4.5752895943,5.545098081,16.305959087,79.53879941000001,18,39.300000000000004,16.1
17171,9555.100829,4.2722637451,5.4999720977,12.526096033,79.08464567,13.700000000000001,35,12.5
17173,7898.3241421,4.3216334586,5.5590412698,15.895188093,78.53325753,19.7,37.2,12.4
17175,9474.0718812,4.3567458931,5.5467375046,18.709073901,77.63215378,18.4,37.7,13.200000000000001
17177,9373.1916932,4.354817343,5.5737605136,13.752951154,71.00518773,18.3,42.1,13.3
17179,7935.8512404,4.2410789269,5.4630497421,13.701688079,77.52545900999999,14.7,35.199999999999996,11.1
17181,10017.607027,4.700169214,5.7403560293,13.121011511,76.82962106,17.8,37.6,16.7
17183,12430.385006,4.6603688033,5.6920297782,14.100667708,69.23637568,19.8,41,14.299999999999999
17185,8398.3539773,4.5161298096,5.5891210246,21.646973933,75.37625418,18.8,37.6,14.099999999999998
17187,8040.8345606,4.5068455754,5.5214475613,12.840895194,78.11663195,18.099999999999998,37.7,13.4
17189,8640.6841131,4.0922031441,5.4667142012,21.989298541,81.17790982000001,16.5,35.8,10.2
17191,9934.8532919,4.7354392141,5.8445764617,25.831653226,78.94352838,17.299999999999997,37.1,13.900000000000002
17193,10323.770181,4.786443794,5.9144259781,22.770677244,76.27447522,21.099999999999998,38.1,15.2
17195,9513.2103705,4.351993078,5.5398480619,14.087599254,75.46413955999999,15.7,35.3,12.6
17197,6358.271706,3.6162018421,4.8252807257,6.6881279987,82.51958062,12.5,36.6,8.799999999999999
17199,9023.3172271,4.3278039635,5.5032743296,17.692480696,71.13018697,18.6,38.4,14.000000000000002
17201,11175.617656,4.5549710792,5.4998193436,9.6035267269,65.24006271,18.6,38.5,14.499999999999998
17203,5802.5908305,3.7874572797,5.0082565321,15.998741083,83.54189336,16,34.2,9.8
