fips,county_name,poverty_rate,median_hh_income,unemployment_rate,snap_rate,rent_burden_rate,pct_no_hs,pct_hs_grad,pct_bachelor_plus,uninsured_rate,obesity_pct,depression_pct,diabetes_pct,copd_pct,smoking_pct,mammography_pct,inactivity_pct,asthma_pct,uninsured_places,hypertension_pct,colorectal_screen_pct,svi_overall,svi_socioeco,svi_hh_char,svi_minority,svi_housing,pct_poverty,pct_unemp_svi,pct_uninsured_svi,eji_overall,eji_env_burden,eji_social_vuln,eji_health_vuln,n_tracts,hpsa_prim_care,hpsa_dental,hpsa_mental_health,hpsa_any_shortage,hpsa_prim_care_designated,pct_lila_tracts,mean_dist_supermarket,pct_no_vehicle_far,premature_death,poor_health_days,poor_mental_days,social_associations,voter_turnout,adult_smoking,adult_obesity,food_insecurity,n_districts,total_enrollment,pct_free_lunch,pct_reduced_lunch
17069,"Hardin County, Illinois",10.96,54271,2.76,18.51,7.28,0.48,35.22,13.28,3.7,39.7,22.4,14.7,10.5,16.9,70.6,27.4,10.6,8.4,42.1,62.4,0.2383,0.1696,0.5301,0.0073,0.4588,22.3,2.6,5.2,0.4574,0.0467,0.5612,0.6,2,1,2,1,1,1,0,84.7608,536.24,12840.068621,4.6608547537,5.7511218855,11.120378093,80.72776280000001,20.7,37.8,15.7,2,530,NA,NA
17071,"Henderson County, Illinois",13.94,62227,7.8,13.83,25.44,0.09,37.03,20.64,2.6,38.6,21.4,14.1,9.6,15.1,70.7,25.8,10.2,7.6,41.8,64.9,0.0391,0.1543,0.1438,0.0821,0.0204,17.4,7.9,2.1,0.488,0.4026,0.3903,0.4667,3,2,2,1,1,1,0,77.7279,198.58,8415.4223517,4.2614223686,5.5186008624,11.380263372,85.53719008,17.299999999999997,37.2,11.7,5,2083,NA,NA
17073,"Henry County, Illinois",8.91,71911,4.83,13.3,35.15,1.22,29.18,24.74,4,36.9,21.8,11.9,7.8,13.8,73.8,23.6,10.2,7.9,36.4,66.5,0.126,0.0916,0.447,0.3388,0.1339,15.5,4.5,4.3,0.4399,0.483,0.3709,0.3571,14,1,0,1,1,1,15.38,81.3358,197.68,7545.4596318,4.1071290664,5.5080255898,13.424482125,80.38596318,15.2,34.699999999999996,11.4,11,4059,NA,NA
17075,"Iroquois County, Illinois",12.5,66255,4.47,14.18,36.78,1.56,32.04,18.2,6,40.6,22.8,13.9,9.7,16.4,71.5,27,10.5,9.6,40,62.6,0.2673,0.4092,0.6456,0.3388,0.0573,22.2,4.9,5.9,0.5735,0.3983,0.5358,0.5111,9,2,2,1,1,1,33.33,92.2349,365.49,9715.0037977,4.5274114564,5.6129547182,14.731991085,78.54054531,17.299999999999997,38.3,13,10,3420,NA,NA
17077,"Jackson County, Illinois",20.99,48763,7.45,18.48,46.41,0.82,17.57,36.31,6.3,39.8,23,11.6,7.7,13.8,70.6,24.4,10.8,8.4,33.6,61,0.8479,0.8225,0.3452,0.6316,0.9863,36.4,8.1,7.1,0.558,0.3935,0.6484,0.3647,17,2,2,1,1,1,50,82.6834,539.8,10751.021623,4.6838125162,5.6749599933,17.294790657,49.32432432,19.1,39,16,14,7583,NA,NA
17079,"Jasper County, Illinois",11.06,74755,4.18,14,18.56,0.12,29.41,20.92,5,38.2,22.6,12,8.1,14.3,71,23.2,10.2,6.9,36.9,65.9,0.0875,0.1352,0.3239,0.0115,0.1139,16.7,4.9,5.6,0.3775,0.2791,0.4051,0.4,3,0,2,1,1,0,33.33,90.5847,363.51,6630.7805067,4.1378152692,5.417913349,14.11202779,82.81996814,14.499999999999998,35,11.7,5,1533,NA,NA
17081,"Jefferson County, Illinois",13.53,63118,5.77,17.12,37.1,0.66,27.99,18.17,7.2,39.8,22.7,13,8.8,16.1,71.5,25.2,10.6,8.4,38.5,62.2,0.7117,0.503,0.8164,0.4445,0.8406,22.8,6.5,7.1,0.6302,0.5141,0.6208,0.4364,11,2,2,1,1,1,36.36,79.0798,359.18,10088.642367,4.5815603335,5.5983133567,17.032967033,71.85410334,18.4,38.8,14.2,22,5473,NA,NA
17083,"Jersey County, Illinois",8.83,80361,3.4,11.86,33.68,0.55,30.53,22.64,5,39,22.8,11.7,7.9,14,74,23.2,10.3,6.9,36.2,63.8,0.0318,0.0541,0.1152,0.0407,0.0986,15.1,3.4,4.4,0.2763,0.3244,0.3329,0.2333,6,1,2,1,1,1,0,97.5601,328.77,9795.025836,4.0973609418,5.55545021,10.354890332,77.91833667,17.599999999999998,37.8,10.8,2,1550,NA,NA
17085,"Jo Daviess County, Illinois",7.84,73993,3.59,8.41,37.42,1.52,26.91,28.91,4.7,36.1,20.6,13.2,8.6,13,70.4,23.8,9.9,6.8,40.4,68,0.076,0.092,0.272,0.1276,0.1295,15.2,2.7,4.7,0.4308,0.3829,0.3396,0.4571,7,0,0,1,1,0,16.67,89.8899,199.82,6364.3641937,4.0788619493,5.3896941752,7.8132181267,81.80067405,14.2,34.2,11.1,9,2118,NA,NA
17087,"Johnson County, Illinois",17.58,62528,3.48,12.92,34.64,0.82,21.76,19.56,8.1,41.4,21.5,12.9,8.9,16.8,64.8,26.4,10.2,10.4,38.4,56.8,0.3834,0.2969,0.3716,0.503,0.5259,22.7,2.9,7,0.5543,0.3243,0.4851,0.6,4,1,2,1,1,1,0,87.4902,234.02,9590.6166679,4.584252736,5.4568801535,8.2206113146,84.66005323,17.5,36.5,14.000000000000002,7,871,NA,NA
